Point Id;From Station;Stored Status;Solution Type;Solution Optimisation;Satellite System;Frequency;Occupation Mode;Start Time;End Time;Duration;Antenna Height [m];Antenna Name;Ephemeris Type;Easting [m];Northing [m];Ortho. Height [m];Geoid Separation [m];WGS84 Latitude [°];WGS84 Longitude [°];WGS84 Ellip. Height [m];WGS84 Cartesian X [m];WGS84 Cartesian Y [m];WGS84 Cartesian Z [m];”x [m];”y [m];”z [m];Slope Dist. [m];SD Slope Dist. [m]
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/17/2021 06:59:42;02/18/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.515;98.945.260.918;124.736;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";59.088;-11.471.799.027;62.732.355.247;-1.054.812.837;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/18/2021 06:59:42;02/19/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.044;98.945.260.949;127.753;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";62.105;-11.471.800.090;62.732.358.120;-1.054.812.855;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/19/2021 06:59:42;02/20/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.437;98.945.259.357;127.595;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";61.947;-11.471.798.477;62.732.358.227;-1.054.814.445;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/20/2021 06:59:42;02/21/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.425;98.945.259.484;129.189;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";63.541;-11.471.799.736;62.732.359.620;-1.054.814.344;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/21/2021 06:59:42;02/22/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.834;98.945.260.417;128.057;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";62.409;-11.471.799.936;62.732.358.448;-1.054.813.393;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/22/2021 06:59:42;02/23/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.983;98.945.261.113;128.384;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";62.736;-11.471.801.128;62.732.358.575;-1.054.812.701;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/23/2021 06:59:42;02/24/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.777;98.945.260.843;127.343;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";61.695;-11.471.800.738;62.732.357.584;-1.054.812.954;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/24/2021 06:59:42;02/25/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.109;98.945.260.433;126.604;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";60.956;-11.471.799.946;62.732.356.970;-1.054.813.352;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/25/2021 06:59:42;02/26/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.740.500;98.945.261.144;130.292;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";64.644;-11.471.801.980;62.732.360.359;-1.054.812.702;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/26/2021 06:59:42;02/27/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.739.482;98.945.261.010;128.215;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";62.567;-11.471.800.605;62.732.358.497;-1.054.812.802;-;-;-;-;0.0000
